title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language,Unnamed: 0.1,Unnamed: 0
Brandy Hellville & the Cult of Fast Fashion,"Brandy Hellville & the Cult of Fast Fashion is a 2024 documentary film directed by Eva Orner, focused on the business practices of clothing brand Brandy Melville. The film is based on Kate Taylor's reporting for Insider.",Eva Orner,,,,,,9 April 2024,,,,
Brats,"Brats is a 2024 documentary film, directed by Andrew McCarthy. It explores the Brat Pack, a group of young actors who frequently appeared together in coming-of-age films, and the impact on their lives and careers.",Andrew McCarthy,,"Adrian Buitenhuis, Derik Murray",,"Adrian Buitenhuis, Evans Brown",Tony Kent,"June 7, 2024(Tribeca)",United States,English,,
Breaking and Re-entering,"The film follows the story of Chang Po-chun, a charismatic leader of a group of bank robbers, who sets out to steal a large sum of money from a prominent financial institution run by Chen Hai-jui. However, things take an unexpected turn when he discovers that his former girlfriend, Shen Shu-wen, works at the same bank.[4] This unexpected twist leads Po-chun to concoct a plan to return the stolen funds through an unconventional method, adding a comedic spin to the traditional heist film.[5]",Wang Ding-lin,"Wang Hui-chu, Wang Ding-lin, Wen Yu-fang",Yeh Ju-feng,"Chen Bo-lin, Cecilia Choi",Garvin Chan,Kipo Lin,8 February 2024,Taiwan,"Southern Min, Mandarin",,
Breaking the Cycle,,,,,,,,,,,,
Breathe,"Breathe is a 2024 American science fiction thriller film directed by Stefon Bristol, written by Doug Simon, and starring Jennifer Hudson, Milla Jovovich, Quvenzhané Wallis, Common, and Sam Worthington. The film is set in a world where oxygen levels on Earth have dropped making it impossible to live on the planet's surface without specialised equipment. It was released on April 26, 2024.",Stefon Bristol,Doug Simon,"Basil Iwanyk, Erica Lee, Christian Mercuri, David Haring","Jennifer Hudson, Milla Jovovich, Quvenzhané Wallis, Common, Sam Worthington",Felipe Vara de Rey,Oriana Soddu,"April 26, 2024",United States,English,,
Brewster's Millions: Christmas,"The film also stars Rain Pryor, Richard Pryor's daughter,Telma Hopkins,Tequan Richmond and Sierra McClain.[2]",Patricia Cuffie-Jones,"Patricia Cuffie-Jones, Joseph Nasser","Nicholas Nasser, Matthew Joseph Nasser, Danial Nasser, Joseph Nasser","China Anne McClain, Romeo Miller, Rain Pryor, Tequan Richmond, Sierra McClain, Telma Hopkins, Richard Pryor Jr.",,Victor V. Hogan II,"December 5, 2024",United States,English,,
Brief History of a Family,"Brief History of a Family (Chinese: 家庭简史), is a 2024 mystery thriller film written and directed by Lin Jianjie in his feature directorial debut. The film, starring Zu Feng, Guo Keyu, Sun Xilun, and Lin Muran depicts a middle-class Chinese family in the post-one-child-policy era, who takes in their only son's mysterious new friend, triggering buried family tensions as secrets and feelings surface.[1]",Lin Jianjie,Lin Jianjie,"Lou Ying, Zheng Yue, Wang Yiwen","Zu Feng, Guo Keyu, Sun Xilun, Lin Muran",Zhang Jiahao,Per K. Kirkegaard,19 January 2024(Sundance),"China, France, Denmark, Qatar",Mandarin,,
Bring Them Down,"Bring Them Down is a 2024 thriller film written and directed by Christopher Andrews (in his feature directorial debut), starring Christopher Abbott, Barry Keoghan, Nora-Jane Noone, Paul Ready, Aaron Heffernan, Conor McNeill, Susan Lynch, and Colm Meaney.",Christopher Andrews,,"Ivana MacKinnon, Jacob Swan Hyam, Ruth Treacy, Julianne Forde, Jean-Yves Roubin, Cassandre Warnauts","Christopher Abbott, Barry Keoghan, Nora-Jane Noone, Paul Ready, Aaron Heffernan, Conor MacNeill, Susan Lynch, Colm Meaney",Nick Cooke,George Cragg,8 September 2024(TIFF),"Ireland, United Kingdom, United States, Belgium","English, Irish",,
The Brink of Dreams,"In order to bring attention to issues that are important to them, like early marriage, domestic abuse, and girls' education, a group of girls resolves to form a theater club and perform plays based on well-known Saidi folklore on the streets of their little village.","Nada Riyadh, Ayman El Amir","Nada Riyadh, Ayman El Amir","Ayman El Amir, Nada Riyadh",,Ayman El Amir,Ayman El Amir,"May 17, 2024(Cannes)",Egypt,Egyptian Arabic,,
Broken Rage,"Broken Rage is a 2024 Japanese action comedy film, written and directed by Takeshi Kitano, who also leads the cast which features an ensemble cast including Tadanobu Asano, Nao Omori, Hakuryu, and Shidō Nakamura.",Takeshi Kitano,Takeshi Kitano,Satoshi Fukushima,"Takeshi Kitano, Tadanobu Asano, Nao Omori, Hakuryu, Shidō Nakamura",Takeshi Hamada,"Takeshi Kitano, Yoshinori Ota","September 6, 2024(Venice)",Japan,Japanese,,
Brother,"Brother is a 2024 Indian Tamil-language comedy drama film written and directed by M. Rajesh, and produced by Sundar Arumugam under the banner of Screen Scene Media Entertainment lootherPvt. Ltd. The film stars Ravi Mohan and Priyanka Mohan in the lead roles.",M. Rajesh,M. Rajesh,Sundar Arumugam,"Ravi Mohan, Priyanka Mohan, Natty Subramaniam, Bhumika Chawla",Vivekanand Santhosham,David Joseph,31 October 2024,India,Tamil,,
Brother 3,"Despite the negative reaction from viewers to the film, critics gave the films mixed reviews. They praised the project for the acting, some plot elements and ambition, but criticized the soundtrack, the lack of connection with Balabanov’s duology, as well as the editing.[1][2][3][4][5]",Valery Pereverzev,,,,,,2024,Russia,Russian,,
A Brother and 7 Siblings,The film had its world premiere as the closing film of 19th Jogja-NETPAC Asian Film Festival on 7 December 2024. It was theatrically released in Indonesia on 23 January 2025.,Yandy Laurens,Yandy Laurens,"Lachman G. Samtani, Suryana Paramita, Manoj K. Samtani, Deepak G. Samtani",Chicco Kurniawan,Dimas Bagus Triatma,Hendra Adhi Susanto,7 December 2024(Jogja),Indonesia,Indonesian,,
Brothers,"Brothers is a 2024 American crime comedy film directed by Max Barbakow with a screenplay by Macon Blair from a story by Etan Cohen. The film stars Josh Brolin, Peter Dinklage, Taylour Paige, M. Emmet Walsh, Marisa Tomei, Jennifer Landon, Brendan Fraser, and Glenn Close.",Max Barbakow,,"Andrew Lazar, Josh Brolin, Peter Dinklage, David Ginsberg","Josh Brolin, Peter Dinklage, Taylour Paige, M. Emmet Walsh, Jennifer Landon, Brendan Fraser, Glenn Close",Quyen Tran,"Christian Hoffman, Martin Pensa","October 10, 2024",United States,English,,
The Brutalist,"The Brutalist is a 2024 epic period drama film directed and produced by Brady Corbet, who co-wrote the screenplay with Mona Fastvold. It stars Adrien Brody as a Jewish-Hungarian architect and Holocaust survivor who immigrates to the United States, where he struggles to achieve the American Dream. The cast also features Felicity Jones, Guy Pearce, Joe Alwyn, Raffey Cassidy, Stacy Martin, Emma Laird, Isaach de Bankolé, and Alessandro Nivola. It is one of the first films in recent history to revive and repopularize the VistaVision format in which it was shot.",Brady Corbet,"Brady Corbet, Mona Fastvold","Trevor Matthews, Nick Gordon, Brian Young, Andrew Morrison, Andrew Lauren, D. J. Gugenheim, Brady Corbet","Adrien Brody, Felicity Jones, Guy Pearce, Joe Alwyn, Raffey Cassidy, Stacy Martin, Emma Laird, Isaach de Bankolé, Alessandro Nivola",Lol Crawley,Dávid Jancsó,"September 1, 2024(Venice)","United States, Hungary, United Kingdom",English,,
Buddy,"Buddy is a 2024 Indian Telugu-language fantasy action film written and directed by Sam Anton (in his Telugu debut) and produced by K. E. Gnanavel Raja and Aadhana Gnanavelraja under the banner of Studio Green.[2] The film stars Allu Sirish, Gayatri Bhardwaj, Prisha Rajesh Singh (in her acting debut), and Ajmal Ameer in prominent roles. The soundtrack and background score were composed by Hiphop Tamizha, while the cinematography and editing were handled by Krishnan Vasant and Ruben. The film is an adaptation of the Tamil film Teddy.[3]",Sam Anton,Sam Anton,"K. E. Gnanavel Raja, Aadhana Gnanavelraja","Allu Sirish, Gayatri Bhardwaj, Prisha Rajesh Singh, Ajmal Ameer",Krishnan Vasant,Ruben,2 August 2024,India,Telugu,,
Buffalo Kids,Buffalo Kids is a 2024 Spanish animated adventure film directed by Pedro Solís and Juan Galocha.,"Pedro Solís, Juan Jesús García ""Galo""",,,"Alisha Weir, Conor MacNeill, Gemma Arterton, Sean Bean, Stephen Graham",,,14 June 2024(Annecy),Spain,,,
Buffalo Travels,"Buffalo Travels (Sinhala: බෆලෝ ට්‍රැවල්ස්) is a 2024 Sri Lankan Sinhalese comedy film directed and produced by Damith Fonseka in his directorial debut for Dream Films.[3][4] It stars Bandu Samarasinghe in the lead role,[5] where Mahendra Perera, Veena Jayakody, Damith Fonseka and Dilukshi Weerapperuma made supportive roles.[6][7] George Glendorf, who is a Dutch actor played a main role for the first time in Sri Lankan cinema.[2]","Damith Fonseka, [, 1, ]",Nishantha Weerasinghe,Damith Fonseka,"Bandu Samarasinghe, George Glendorf, Mahendra Perera, Veena Jayakody, Damith Fonseka, Dilukshi Weerapperuma","G. Nandasena, Raja Syed",Ajith Ramanayake,25 October 2024,,Sinhala,,
Builder Boys,"Builder Boys is a 2024 Gujarati comedy drama,[1][2] directed and written by Chanakya Patel.[3] It stars Raunaq Kamdar[4] Shivam Parekh,[5] Esha Kansara,[6] and others. The film is produced by Neha Rajora, and Setu Kushal Patel. The film will be distributed by Rupam Entertainment Pvt Ltd.",Chanakya Patel,Chanakya Patel,"Neha Rajora, Setu Kushal Patel","Raunaq Kamdar, Shivam Parekh, Esha Kansara",Aditya Sharma,,5 July 2024,India,Gujarati,,
The Buildout,Two women embark on a road trip through a desert where unexplainable events take place.,Zeshaan Younus,Zeshaan Younus,"Trevor Dillon, Sailor Larocque, Nicholas Thurkettle, Zeshaan Younus","Jenna Kanell, Hannah Alline, Natasha Halevi, Michael Sung Ho, Danielle Evon Ploeger, Ariel Barber",Justin Moore,Matt Latham,"February 24, 2024(13th Oceanside International Film Festival)",United States,English,,
Bujji at Anupatti,"Bujji at Anupatti is a 2024 Indian Tamil-language  drama film written and directed by Raam Kandasamy. The film stars Karthik Vijay  and Lavanya Kanmani in the lead roles. The film was produced by Raam Kandasamy under the banner of  Kavilayaa Creations, and had a theatrical release on 31 May 2024.[1]",Raam Kandasamy,Raam Kandasamy,Raam Kandasamy,"Karthik Vijay, Lavanya Kanmani",Arun Mozhi Chozhan,Saravanan Madheswaran,31 May 2024,India,Tamil,,
Bull Run,"It premiered at the Newport Beach Film Festival on October 19, 2024.[3][4]","Alfredo Barrios, Jr.","Alfredo Barrios, Jr. and, Bill Keenan","Howard Baldwin, Karen E. Baldwin, Doug Ellin, Andrew Sugerman, Bill Keenan, Bill Immerman","Tom Blyth, Chris Diamantopoulos, Jay Mohr, Troy Garity, Zach Villa, Jordyn Denning",David Newbert,Ethan Maniquis,"October 19, 2024(NBFF)",,,,
The Bunker,"The Bunker is a 2024 American science fiction horror film written by Charles Bunce and Brian Hanson and directed by Hanson. It stars Chelsea Edmundson, Chad Michael Collins, Tobin Bell and Tony Todd.",Brian Hanson,"Charles Bunce, Brian Hanson","Kelby Thwaits, Kayli Fortun, Charles Bunce, Aaron B. Koontz, Brian Hanson","Chelsea Edmundson, Chad Michael Collins, Tobin Bell, Tony Todd",Roman Zenz,"Brian Draggaman, Charles Bunce","August 16, 2024(Popcorn Frights)",United States,English,,
Bunnyhood,"The film follows Bobby, a young girl who begins to question her trust in her mother after being unexpectedly taken to the hospital. ""Mum would never lie to me, would she?"" she wonders, as the surreal narrative unfolds.[18]",Mansi Maheshwari,"James Davis, Anna Moore",Ashionye Ogene,,,Kaupo Muuli,"May 23, 2024(Cannes)",United Kingdom,,,
The Bus of Life,"The Bus of Life (Spanish: El bus de la vida) is a 2024 comedy-drama film directed by Ibon Cormenzana [eu] which stars Dani Rovira, Susana Abaitua, Pablo Scapigliati, Andrés Gertrúdix, and Elena Irureta.",Ibon Cormenzana,"Eduard Sola Guerrero, Ibon Cormenzana","Ibon Cormenzana, Ignasi Estapé, Sandra Tapia Díaz, Ángel Durández","Dani Rovira, Susana Abaitua, Pablo Scapigliati, Andrés Gertrúdix, Elena Irureta",Albert Pascual,David Gallart,3 July 2024(Spain),"Spain, France",Spanish,,
Buy Now! The Shopping Conspiracy,It was released on 20 November 2024 on Netflix streaming.,Nic Stacey,Nic Stacey,Flora Bagenal,"Eric Liedtke, Maren Costa, Roger Lee, Paul Polman",Brendan McGinty,,20 November 2024,,English,,
By the Stream,"Art instructor Jeonim asks her uncle Sieon, a former actor, to write and direct a play for the theatre festival at the university where she teaches. Her boss, Jeong, is a fan of Sieon, and the pair develop feelings for each other to Jeonim's dismay.[3]",Hong Sang-soo,Hong Sang-soo,Hong Sang-soo,"Kim Min-hee, Kwon Hae-hyo, Cho Yun-hee, Ha Seong-guk",Hong Sang-soo,Hong Sang-soo,16 August 2024(Locarno),South Korea,Korean,,
Byri,"Byri is a 2024 Indian Tamil-language action drama film directed by John Glady and starring himself, Syed Majeed, Meghana Ellen and, Viji Sekar with the music by Arun Raj. The film is about pigeon racing in Nagercoil,[1] and it was released on 23 February 2024 to mixed-to-positive reviews from critics but couldn't perform well at the box office.",John Glady,John Glady,V. Durai Raj,"Syed Majeed, Meghana Ellen, Viji Sekar, John Glady",A. V. Vasantha Kumar,R. S. Sathish Kumar,23 February 2024,India,Tamil,,
C.D,"C.D (Criminal or Devil) is a 2024 Indian Telugu-language psychological thriller film directed by Krishna Annam and produced by Giridhar.[1]  It stars Adah Sharma, Viswant Duddumpudi, Mahesh Vitta, and Bharani Shankar as lead actors.[2]",Krishna Annam,Muddu Krishna,Giridhar,"Adah Sharma, Viswant Duddumpudi, Mahesh Vitta",Satish Muthyala,Satya Giduturi,24 May 2024,India,Telugu,,
C4 Cinta,"C4 Cinta (transl. C4 love) also abbreviated as #C4C is a 2024 Malaysian Tamil-language romantic comedy film written and directed by Karthik Shaamalan. The film's storyline incorporated a multi-plot narrative connecting four romantic relationships.[3] The film had its theatrical release on 21 November 2024 and opened to positive reviews from critics, with performances of ensemble cast members were praised and the music composition was also praised.",Karthik Shaamalan,Karthik Shaamalan,Karthik Shaamalan,"Yuvaraj Krishnasamy, Pashini Sivakumar, Vijay Naidu, Ravin Rao Santheran, Dishaaleny Jack",Thinesh Kumar,,21 November 2024,Malaysia,Tamil,,
C202,"C.202 is a 2024 Indian Telugu language horror film directed, written, composed and edited by Munna Kasi and produced by Manohari KA under the Mighty Oak Pictures banner. The film stars himself and Sharon Riah Fernandez.[2][3]",Munna Kasi,,Manohari KA,"Munna Kasi, Sharon Riah Fernandez, Tanikella Bharani, Satya Prakash, Subhalekha Sudhakar, Shafi, Archana Ananth, Chitram Srinu, Idream Anjali, Y. Vijaya",Seetharamaraju Upputhalla,Munna Kasi,"October 25, 20241",India,Telugu,,
Cabrini,"Cabrini is a 2024 American biographical drama film directed by Alejandro Gómez Monteverde and written by Rod Barr, based on a story by both. The film depicts the life of Catholic missionary Francesca Cabrini, portrayed by Cristiana Dell'Anna, as she encounters resistance to her charity and business efforts in New York City. Cabrini explores the sexism and anti-Italian bigotry faced by Cabrini and others in New York City in the late 19th century.[5]",Alejandro Monteverde,,"J. Eustace Wolfington, Jonathan Sanger, Leo Severino","Cristiana Dell'Anna, David Morse, Romana Maggiora Vergano, Federico Ielapi, Virginia Bocelli, Rolando Villazón, Giancarlo Giannini, John Lithgow",Gorka Gómez Andreu,F. Brian Scofield,"March 8, 2024",United States,"English, Italian",,
Caddo Lake,"Caddo Lake is a 2024 American thriller film written and directed by Celine Held and Logan George. It stars Dylan O'Brien, Eliza Scanlen, Diana Hopper, Caroline Falk, Sam Hennings, Eric Lange, and Lauren Ambrose. M. Night Shyamalan serves as a producer under his Blinding Edge Pictures company.","Celine Held, Logan George","Celine Held, Logan George","M. Night Shyamalan, Ashwin Rajan, Kara Durrett, Josh Godfrey","Dylan O'Brien, Eliza Scanlen, Diana Hopper, Caroline Falk, Sam Hennings, Eric Lange, Lauren Ambrose",Lowell A. Meyer,Logan George,"October 10, 2024",United States,English,,
Calamity Jane,Calamity Jane is a 2024 Western film directed by Terry Miles and starring Emily Bett Rickards and Stephen Amell.,Terry Miles,"Leon Langford, Collin Watts",Tara Cowell-Plain,"Emily Bett Rickards, Stephen Amell, Tim Rozon, Priscilla Faia",Jan Klompje,Trevor Mirosh,"February 2, 2024","Canada, United States",English,,
