title,description,directed_by,produced_by,starring,country,language,release_date
Boxcutter,"The cast also includes Viphusan Vani, Clairmont the Second, Matthew Worku, Rich Kidd, Chelsea Braam-Carew, Nayo, Nick Atef, Izaiah Dockery, Angie Reid, Shomari Downer, Andréa Grant, Junia-T, Faizan Khan, Marlon Palmer, Charlie Ebbs, Alexa Higgins, Siobhan Johnson, Juan Arboleda, Richard Veltri, Sharon Forrester, Katie Ortencio, Teq Zwarych, Daniel Lavigne and Neema Nazeri in supporting roles.",Reza Dahya,"Reza Dahya, Alison Almeida, Soko Negash, Kirthiga Rajanayagam","Ashton James, Zoe Lewis",Canada,English,15-09-2024
Boxer,Boxer (Polish: Bokser) is a 2024 Polish sports drama film co-written and directed by Mitja Okorn. It was released on Netflix on 11 September 2024.,Mitja Okorn,"Maciej Kawulski, [, pl, ], Tomasz Wardyn","Eryk Kulm, Adrianna Chlebicka, [, pl, ], Eryk Lubos, [, pl, ], Adam Woronowicz, Magdalena Walach, Michał Żurawski, Waleria Gorobets, [, pl, ]",Poland,Polish,11-09-2024
The Boy with Pink Pants,"The Boy with Pink Pants (Italian: Il ragazzo dai pantaloni rosa, also known as The Boy with Pink Trousers) is a 2024 Italian drama film directed by Margherita Ferri, starring Claudia Pandolfi and Samuele Carrino.",Margherita Ferri,Roberto Proia,"Claudia Pandolfi, Samuele Carrino, Sara Ciocca, Andrea Arru, Corrado Fortuna",Italy,Italian,24-10-2024
The Boys,"The Boys is a 2024 Indian Tamil-language adult comedy horror film written and directed by Santhosh P. Jayakumar starring himself, Sha Ra, Arshad, KPY Vinoth, Yuvaraj Ganesan, Redin Kingsley, and Rajendran.[1]",Santhosh P. Jayakumar,E. Sendhil Kumar,"Santhosh P. Jayakumar, Sha Ra, Rajendran",India,Tamil,29-03-2024
Brahmmavaram PS Paridhilo,"Brahmavaram PS Paridilo is a 2024 Indian Telugu-language film written and directed by debutant Imran Sastry.[1] It is produced under the banner of Dreamz On Reelz Entertainment. the film features Sravanthi Bellamkonda, Guru, Surya Sreenivas, Harshini, Jeeva, and Roopa Lakshmi in important roles alongside other ensemble cast.[2]",Imran Sastry,No data,"Sravanthi Bellamkonda, Guru, Surya Sreenivas, Harshini, Jeeva, Roopa Lakshmi",India,Telugu,23-08-2024
Bramayugam,No data,Rahul Sadasivan,"Chakravarthy Ramachandra, S. Sashikanth","Mammootty, Arjun Ashokan, Sidharth Bharathan",India,"Malayalam, [, 4, ]",15-02-2024
Brandy Hellville & the Cult of Fast Fashion,"Brandy Hellville & the Cult of Fast Fashion is a 2024 documentary film directed by Eva Orner, focused on the business practices of clothing brand Brandy Melville. The film is based on Kate Taylor's reporting for Insider.",Eva Orner,No data,No data,No data,No data,09-04-2024
Brats,"Brats is a 2024 documentary film, directed by Andrew McCarthy. It explores the Brat Pack, a group of young actors who frequently appeared together in coming-of-age films, and the impact on their lives and careers.",Andrew McCarthy,"Adrian Buitenhuis, Derik Murray",No data,United States,English,07-06-2024
Breaking and Re-entering,"The film follows the story of Chang Po-chun, a charismatic leader of a group of bank robbers, who sets out to steal a large sum of money from a prominent financial institution run by Chen Hai-jui. However, things take an unexpected turn when he discovers that his former girlfriend, Shen Shu-wen, works at the same bank.[4] This unexpected twist leads Po-chun to concoct a plan to return the stolen funds through an unconventional method, adding a comedic spin to the traditional heist film.[5]",Wang Ding-lin,Yeh Ju-feng,"Chen Bo-lin, Cecilia Choi",Taiwan,"Southern Min, Mandarin",08-02-2024
Breaking the Cycle,No data,No data,No data,No data,No data,No data,No date
Breathe,"Breathe is a 2024 American science fiction thriller film directed by Stefon Bristol, written by Doug Simon, and starring Jennifer Hudson, Milla Jovovich, Quvenzhané Wallis, Common, and Sam Worthington. The film is set in a world where oxygen levels on Earth have dropped making it impossible to live on the planet's surface without specialised equipment. It was released on April 26, 2024.",Stefon Bristol,"Basil Iwanyk, Erica Lee, Christian Mercuri, David Haring","Jennifer Hudson, Milla Jovovich, Quvenzhané Wallis, Common, Sam Worthington",United States,English,26-04-2024
Brewster's Millions: Christmas,"The film also stars Rain Pryor, Richard Pryor's daughter,Telma Hopkins,Tequan Richmond and Sierra McClain.[2]",Patricia Cuffie-Jones,"Nicholas Nasser, Matthew Joseph Nasser, Danial Nasser, Joseph Nasser","China Anne McClain, Romeo Miller, Rain Pryor, Tequan Richmond, Sierra McClain, Telma Hopkins, Richard Pryor Jr.",United States,English,05-12-2024
Brief History of a Family,"Brief History of a Family (Chinese: 家庭简史), is a 2024 mystery thriller film written and directed by Lin Jianjie in his feature directorial debut. The film, starring Zu Feng, Guo Keyu, Sun Xilun, and Lin Muran depicts a middle-class Chinese family in the post-one-child-policy era, who takes in their only son's mysterious new friend, triggering buried family tensions as secrets and feelings surface.[1]",Lin Jianjie,"Lou Ying, Zheng Yue, Wang Yiwen","Zu Feng, Guo Keyu, Sun Xilun, Lin Muran","China, France, Denmark, Qatar",Mandarin,19-01-2024
Bring Them Down,"Bring Them Down is a 2024 thriller film written and directed by Christopher Andrews (in his feature directorial debut), starring Christopher Abbott, Barry Keoghan, Nora-Jane Noone, Paul Ready, Aaron Heffernan, Conor McNeill, Susan Lynch, and Colm Meaney.",Christopher Andrews,"Ivana MacKinnon, Jacob Swan Hyam, Ruth Treacy, Julianne Forde, Jean-Yves Roubin, Cassandre Warnauts","Christopher Abbott, Barry Keoghan, Nora-Jane Noone, Paul Ready, Aaron Heffernan, Conor MacNeill, Susan Lynch, Colm Meaney","Ireland, United Kingdom, United States, Belgium","English, Irish",08-09-2024
The Brink of Dreams,"In order to bring attention to issues that are important to them, like early marriage, domestic abuse, and girls' education, a group of girls resolves to form a theater club and perform plays based on well-known Saidi folklore on the streets of their little village.","Nada Riyadh, Ayman El Amir","Ayman El Amir, Nada Riyadh",No data,Egypt,Egyptian Arabic,17-05-2024
Broken Rage,"Broken Rage is a 2024 Japanese action comedy film, written and directed by Takeshi Kitano, who also leads the cast which features an ensemble cast including Tadanobu Asano, Nao Omori, Hakuryu, and Shidō Nakamura.",Takeshi Kitano,Satoshi Fukushima,"Takeshi Kitano, Tadanobu Asano, Nao Omori, Hakuryu, Shidō Nakamura",Japan,Japanese,06-09-2024
Brother,"Brother is a 2024 Indian Tamil-language comedy drama film written and directed by M. Rajesh, and produced by Sundar Arumugam under the banner of Screen Scene Media Entertainment lootherPvt. Ltd. The film stars Ravi Mohan and Priyanka Mohan in the lead roles.",M. Rajesh,Sundar Arumugam,"Ravi Mohan, Priyanka Mohan, Natty Subramaniam, Bhumika Chawla",India,Tamil,31-10-2024
Brother 3,"Despite the negative reaction from viewers to the film, critics gave the films mixed reviews. They praised the project for the acting, some plot elements and ambition, but criticized the soundtrack, the lack of connection with Balabanov’s duology, as well as the editing.[1][2][3][4][5]",Valery Pereverzev,No data,No data,Russia,Russian,01-01-2024
A Brother and 7 Siblings,The film had its world premiere as the closing film of 19th Jogja-NETPAC Asian Film Festival on 7 December 2024. It was theatrically released in Indonesia on 23 January 2025.,Yandy Laurens,"Lachman G. Samtani, Suryana Paramita, Manoj K. Samtani, Deepak G. Samtani",Chicco Kurniawan,Indonesia,Indonesian,07-12-2024
Brothers,"Brothers is a 2024 American crime comedy film directed by Max Barbakow with a screenplay by Macon Blair from a story by Etan Cohen. The film stars Josh Brolin, Peter Dinklage, Taylour Paige, M. Emmet Walsh, Marisa Tomei, Jennifer Landon, Brendan Fraser, and Glenn Close.",Max Barbakow,"Andrew Lazar, Josh Brolin, Peter Dinklage, David Ginsberg","Josh Brolin, Peter Dinklage, Taylour Paige, M. Emmet Walsh, Jennifer Landon, Brendan Fraser, Glenn Close",United States,English,10-10-2024
The Brutalist,"The Brutalist is a 2024 epic period drama film directed and produced by Brady Corbet, who co-wrote the screenplay with Mona Fastvold. It stars Adrien Brody as a Jewish-Hungarian architect and Holocaust survivor who immigrates to the United States, where he struggles to achieve the American Dream. The cast also features Felicity Jones, Guy Pearce, Joe Alwyn, Raffey Cassidy, Stacy Martin, Emma Laird, Isaach de Bankolé, and Alessandro Nivola. It is one of the first films in recent history to revive and repopularize the VistaVision format in which it was shot.",Brady Corbet,"Trevor Matthews, Nick Gordon, Brian Young, Andrew Morrison, Andrew Lauren, D. J. Gugenheim, Brady Corbet","Adrien Brody, Felicity Jones, Guy Pearce, Joe Alwyn, Raffey Cassidy, Stacy Martin, Emma Laird, Isaach de Bankolé, Alessandro Nivola","United States, Hungary, United Kingdom",English,01-09-2024
Buddy,"Buddy is a 2024 Indian Telugu-language fantasy action film written and directed by Sam Anton (in his Telugu debut) and produced by K. E. Gnanavel Raja and Aadhana Gnanavelraja under the banner of Studio Green.[2] The film stars Allu Sirish, Gayatri Bhardwaj, Prisha Rajesh Singh (in her acting debut), and Ajmal Ameer in prominent roles. The soundtrack and background score were composed by Hiphop Tamizha, while the cinematography and editing were handled by Krishnan Vasant and Ruben. The film is an adaptation of the Tamil film Teddy.[3]",Sam Anton,"K. E. Gnanavel Raja, Aadhana Gnanavelraja","Allu Sirish, Gayatri Bhardwaj, Prisha Rajesh Singh, Ajmal Ameer",India,Telugu,02-08-2024
Buffalo Kids,Buffalo Kids is a 2024 Spanish animated adventure film directed by Pedro Solís and Juan Galocha.,"Pedro Solís, Juan Jesús García ""Galo""",No data,"Alisha Weir, Conor MacNeill, Gemma Arterton, Sean Bean, Stephen Graham",Spain,No data,14-06-2024
Buffalo Travels,"Buffalo Travels (Sinhala: බෆලෝ ට්‍රැවල්ස්) is a 2024 Sri Lankan Sinhalese comedy film directed and produced by Damith Fonseka in his directorial debut for Dream Films.[3][4] It stars Bandu Samarasinghe in the lead role,[5] where Mahendra Perera, Veena Jayakody, Damith Fonseka and Dilukshi Weerapperuma made supportive roles.[6][7] George Glendorf, who is a Dutch actor played a main role for the first time in Sri Lankan cinema.[2]","Damith Fonseka, [, 1, ]",Damith Fonseka,"Bandu Samarasinghe, George Glendorf, Mahendra Perera, Veena Jayakody, Damith Fonseka, Dilukshi Weerapperuma",No data,Sinhala,25-10-2024
Builder Boys,"Builder Boys is a 2024 Gujarati comedy drama,[1][2] directed and written by Chanakya Patel.[3] It stars Raunaq Kamdar[4] Shivam Parekh,[5] Esha Kansara,[6] and others. The film is produced by Neha Rajora, and Setu Kushal Patel. The film will be distributed by Rupam Entertainment Pvt Ltd.",Chanakya Patel,"Neha Rajora, Setu Kushal Patel","Raunaq Kamdar, Shivam Parekh, Esha Kansara",India,Gujarati,05-07-2024
The Buildout,Two women embark on a road trip through a desert where unexplainable events take place.,Zeshaan Younus,"Trevor Dillon, Sailor Larocque, Nicholas Thurkettle, Zeshaan Younus","Jenna Kanell, Hannah Alline, Natasha Halevi, Michael Sung Ho, Danielle Evon Ploeger, Ariel Barber",United States,English,24-02-2024
Bujji at Anupatti,"Bujji at Anupatti is a 2024 Indian Tamil-language  drama film written and directed by Raam Kandasamy. The film stars Karthik Vijay  and Lavanya Kanmani in the lead roles. The film was produced by Raam Kandasamy under the banner of  Kavilayaa Creations, and had a theatrical release on 31 May 2024.[1]",Raam Kandasamy,Raam Kandasamy,"Karthik Vijay, Lavanya Kanmani",India,Tamil,31-05-2024
Bull Run,"It premiered at the Newport Beach Film Festival on October 19, 2024.[3][4]","Alfredo Barrios, Jr.","Howard Baldwin, Karen E. Baldwin, Doug Ellin, Andrew Sugerman, Bill Keenan, Bill Immerman","Tom Blyth, Chris Diamantopoulos, Jay Mohr, Troy Garity, Zach Villa, Jordyn Denning",No data,No data,19-10-2024
The Bunker,"The Bunker is a 2024 American science fiction horror film written by Charles Bunce and Brian Hanson and directed by Hanson. It stars Chelsea Edmundson, Chad Michael Collins, Tobin Bell and Tony Todd.",Brian Hanson,"Kelby Thwaits, Kayli Fortun, Charles Bunce, Aaron B. Koontz, Brian Hanson","Chelsea Edmundson, Chad Michael Collins, Tobin Bell, Tony Todd",United States,English,16-08-2024
Bunnyhood,"The film follows Bobby, a young girl who begins to question her trust in her mother after being unexpectedly taken to the hospital. ""Mum would never lie to me, would she?"" she wonders, as the surreal narrative unfolds.[18]",Mansi Maheshwari,Ashionye Ogene,No data,United Kingdom,No data,23-05-2024
The Bus of Life,"The Bus of Life (Spanish: El bus de la vida) is a 2024 comedy-drama film directed by Ibon Cormenzana [eu] which stars Dani Rovira, Susana Abaitua, Pablo Scapigliati, Andrés Gertrúdix, and Elena Irureta.",Ibon Cormenzana,"Ibon Cormenzana, Ignasi Estapé, Sandra Tapia Díaz, Ángel Durández","Dani Rovira, Susana Abaitua, Pablo Scapigliati, Andrés Gertrúdix, Elena Irureta","Spain, France",Spanish,03-07-2024
Buy Now! The Shopping Conspiracy,It was released on 20 November 2024 on Netflix streaming.,Nic Stacey,Flora Bagenal,"Eric Liedtke, Maren Costa, Roger Lee, Paul Polman",No data,English,20-11-2024
By the Stream,"Art instructor Jeonim asks her uncle Sieon, a former actor, to write and direct a play for the theatre festival at the university where she teaches. Her boss, Jeong, is a fan of Sieon, and the pair develop feelings for each other to Jeonim's dismay.[3]",Hong Sang-soo,Hong Sang-soo,"Kim Min-hee, Kwon Hae-hyo, Cho Yun-hee, Ha Seong-guk",South Korea,Korean,16-08-2024
Byri,"Byri is a 2024 Indian Tamil-language action drama film directed by John Glady and starring himself, Syed Majeed, Meghana Ellen and, Viji Sekar with the music by Arun Raj. The film is about pigeon racing in Nagercoil,[1] and it was released on 23 February 2024 to mixed-to-positive reviews from critics but couldn't perform well at the box office.",John Glady,V. Durai Raj,"Syed Majeed, Meghana Ellen, Viji Sekar, John Glady",India,Tamil,23-02-2024
C.D,"C.D (Criminal or Devil) is a 2024 Indian Telugu-language psychological thriller film directed by Krishna Annam and produced by Giridhar.[1]  It stars Adah Sharma, Viswant Duddumpudi, Mahesh Vitta, and Bharani Shankar as lead actors.[2]",Krishna Annam,Giridhar,"Adah Sharma, Viswant Duddumpudi, Mahesh Vitta",India,Telugu,24-05-2024
C4 Cinta,"C4 Cinta (transl. C4 love) also abbreviated as #C4C is a 2024 Malaysian Tamil-language romantic comedy film written and directed by Karthik Shaamalan. The film's storyline incorporated a multi-plot narrative connecting four romantic relationships.[3] The film had its theatrical release on 21 November 2024 and opened to positive reviews from critics, with performances of ensemble cast members were praised and the music composition was also praised.",Karthik Shaamalan,Karthik Shaamalan,"Yuvaraj Krishnasamy, Pashini Sivakumar, Vijay Naidu, Ravin Rao Santheran, Dishaaleny Jack",Malaysia,Tamil,21-11-2024
C202,"C.202 is a 2024 Indian Telugu language horror film directed, written, composed and edited by Munna Kasi and produced by Manohari KA under the Mighty Oak Pictures banner. The film stars himself and Sharon Riah Fernandez.[2][3]",Munna Kasi,Manohari KA,"Munna Kasi, Sharon Riah Fernandez, Tanikella Bharani, Satya Prakash, Subhalekha Sudhakar, Shafi, Archana Ananth, Chitram Srinu, Idream Anjali, Y. Vijaya",India,Telugu,No date
